file,axis_tag,variation_slug,combo_lane,run_phase,best_valid_mrr20,best_valid_hr10,test_mrr20,test_hr10
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/058_R_shared_moe_fixed05_C4_20260316_164838.summary.json,R,shared_moe_fixed05,C4,R_shared_moe_fixed05_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/005_R_shared_moe_global_C1_20260316_164838.summary.json,R,shared_moe_global,C1,R_shared_moe_global_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/023_R_shared_moe_global_C2_20260316_164838.summary.json,R,shared_moe_global,C2,R_shared_moe_global_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/041_R_shared_moe_global_C3_20260316_164838.summary.json,R,shared_moe_global,C3,R_shared_moe_global_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/059_R_shared_moe_global_C4_20260316_164838.summary.json,R,shared_moe_global,C4,R_shared_moe_global_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/006_R_shared_moe_stage_C1_20260316_164838.summary.json,R,shared_moe_stage,C1,R_shared_moe_stage_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/024_R_shared_moe_stage_C2_20260316_164838.summary.json,R,shared_moe_stage,C2,R_shared_moe_stage_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/042_R_shared_moe_stage_C3_20260316_164838.summary.json,R,shared_moe_stage,C3,R_shared_moe_stage_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/060_R_shared_moe_stage_C4_20260316_164838.summary.json,R,shared_moe_stage,C4,R_shared_moe_stage_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/007_R_shared_moe_warmup_C1_20260316_164838.summary.json,R,shared_moe_warmup,C1,R_shared_moe_warmup_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/025_R_shared_moe_warmup_C2_20260316_164838.summary.json,R,shared_moe_warmup,C2,R_shared_moe_warmup_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/043_R_shared_moe_warmup_C3_20260316_164838.summary.json,R,shared_moe_warmup,C3,R_shared_moe_warmup_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/061_R_shared_moe_warmup_C4_20260316_164838.summary.json,R,shared_moe_warmup,C4,R_shared_moe_warmup_C4,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/002_R_shared_only_C1_20260316_164838.summary.json,R,shared_only,C1,R_shared_only_C1,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/020_R_shared_only_C2_20260316_164838.summary.json,R,shared_only,C2,R_shared_only_C2,0.0812,0.1166,0.1622,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/038_R_shared_only_C3_20260316_164838.summary.json,R,shared_only,C3,R_shared_only_C3,0.0812,0.1166,0.1623,0.1899
experiments/run/artifacts/results/fmoe_n3/sidecar/phase4_residual_topk_v2/P4/KuaiRecLargeStrictPosV2_0.2/FMoEN3/056_R_shared_only_C4_20260316_164838.summary.json,R,shared_only,C4,R_shared_only_C4,0.0812,0.1166,0.1623,0.1899
