best_mrr20_seen,best_run_result_file,combo_id,dataset,latest_best_mrr20,latest_result_file,latest_test_mrr20,model,run_count
0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c3_20260317_020008_150099_pid39010.json,K_group_top1_C3,KuaiRecLargeStrictPosV2_0.2,0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c3_20260317_020008_150099_pid39010.json,0.1617,FeaturedMoE_N3,1
0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c4_20260317_011734_062993_pid17745.json,K_group_top1_C4,KuaiRecLargeStrictPosV2_0.2,0.0804,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top1_c4_20260317_011734_062993_pid17745.json,0.1617,FeaturedMoE_N3,1
0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c1_20260317_012931_931591_pid27593.json,K_group_top2_C1,KuaiRecLargeStrictPosV2_0.2,0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c1_20260317_012931_931591_pid27593.json,0.1606,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c2_20260317_012330_697161_pid20423.json,K_group_top2_C2,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c2_20260317_012330_697161_pid20423.json,0.161,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c3_20260317_023736_060380_pid53262.json,K_group_top2_C3,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c3_20260317_023736_060380_pid53262.json,0.1617,FeaturedMoE_N3,1
0.0808,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c4_20260317_015732_431269_pid38089.json,K_group_top2_C4,KuaiRecLargeStrictPosV2_0.2,0.0808,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_group_top2_c4_20260317_015732_431269_pid38089.json,0.1621,FeaturedMoE_N3,1
0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c1_20260317_020309_385877_pid40410.json,K_groupignore_global6_C1,KuaiRecLargeStrictPosV2_0.2,0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c1_20260317_020309_385877_pid40410.json,0.1614,FeaturedMoE_N3,1
0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c2_20260317_020218_805584_pid40160.json,K_groupignore_global6_C2,KuaiRecLargeStrictPosV2_0.2,0.0807,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c2_20260317_020218_805584_pid40160.json,0.1617,FeaturedMoE_N3,1
0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c3_20260317_031759_778069_pid75388.json,K_groupignore_global6_C3,KuaiRecLargeStrictPosV2_0.2,0.0805,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c3_20260317_031759_778069_pid75388.json,0.1607,FeaturedMoE_N3,1
0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c4_20260317_024136_994551_pid55001.json,K_groupignore_global6_C4,KuaiRecLargeStrictPosV2_0.2,0.0806,/workspace/jy1559/FMoE/experiments/run/artifacts/results/fmoe_n3/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_k_groupignore_global6_c4_20260317_024136_994551_pid55001.json,0.1617,FeaturedMoE_N3,1
