run_phase,setting_id,setting_label,seed_id,best_valid_mrr20,test_mrr20,diag_raw_best_valid_file,result_json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S1,,unknown,0,-1.0,0.0524,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s1_20260417_072523_978072_pid1503698.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S1,,unknown,0,-1.0,0.0524,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s1_20260417_073052_574638_pid1505315.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S2,,unknown,0,-1.0,0.0524,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s2_20260417_074754_981836_pid1508487.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S3,,unknown,0,-1.0,0.0524,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s3_20260417_074757_758087_pid1508505.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_01_S4,,unknown,0,-1.0,0.0524,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_01_s4_20260417_074803_735348_pid1508590.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S1,,unknown,0,-1.0,0.0445,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s1_20260417_072523_929189_pid1503699.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S1,,unknown,0,-1.0,0.0444,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s1_20260417_073052_685258_pid1505316.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S2,,unknown,0,-1.0,0.0438,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s2_20260417_074812_846710_pid1508642.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S3,,unknown,0,-1.0,0.0438,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s3_20260417_074815_916332_pid1508662.json
P4R_BEAUTY_B02_B17_HYP_MIDAUX_LOWAUX_H3_RI_02_S4,,unknown,0,-1.0,0.045,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/diag/raw/best_valid_diag.json,/workspace/FeaturedMoE/experiments/run/artifacts/results/fmoe_n4/beauty_FeaturedMoE_N3_p4r_beauty_b02_b17_hyp_midaux_lowaux_h3_ri_02_s4_20260417_075152_473708_pid1509325.json
