dataset,model,rank,score,a,l,test_mrr20,test_ndcg20,test_hr20,file
lastfm0.03,SASRec,2,0.26490613738880714,13,3,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/SASRec/lastfm0.03_SASRec_abcd_v1_a_dlastfm0.03_msasrec_a013_l03_s1_20260414_005023_402689_pid850685_special_metrics.json
lastfm0.03,SASRec,3,0.2637566733710979,26,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/SASRec/lastfm0.03_SASRec_abcd_v1_a_dlastfm0.03_msasrec_a026_l04_s1_20260414_013821_540419_pid863339_special_metrics.json
lastfm0.03,SASRec,4,0.2636493596456123,13,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/SASRec/lastfm0.03_SASRec_abcd_v1_a_dlastfm0.03_msasrec_a013_l04_s1_20260414_005129_758209_pid851354_special_metrics.json
lastfm0.03,SASRec,5,0.26327951534729627,17,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/lastfm0.03/SASRec/lastfm0.03_SASRec_abcd_v1_a_dlastfm0.03_msasrec_a017_l05_s1_20260414_010823_527766_pid854148_special_metrics.json
retail_rocket,GRU4Rec,1,0.28262828274531976,9,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/GRU4Rec/retail_rocket_GRU4Rec_abcd_v1_a_dretail_rocket_mgru4rec_a009_l06_s1_20260413_181154_267750_pid797542_special_metrics.json
retail_rocket,GRU4Rec,2,0.2763573577566441,6,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/GRU4Rec/retail_rocket_GRU4Rec_abcd_v1_a_dretail_rocket_mgru4rec_a006_l06_s1_20260413_180320_160213_pid795226_special_metrics.json
retail_rocket,GRU4Rec,3,0.2744326212238368,14,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/GRU4Rec/retail_rocket_GRU4Rec_abcd_v1_a_dretail_rocket_mgru4rec_a014_l06_s1_20260413_182128_661643_pid800644_special_metrics.json
retail_rocket,GRU4Rec,4,0.2732004025611706,2,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/GRU4Rec/retail_rocket_GRU4Rec_abcd_v1_a_dretail_rocket_mgru4rec_a002_l06_s1_20260413_175558_251641_pid792767_special_metrics.json
retail_rocket,GRU4Rec,5,0.27308534848724,25,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/GRU4Rec/retail_rocket_GRU4Rec_abcd_v1_a_dretail_rocket_mgru4rec_a025_l06_s1_20260413_185050_812393_pid808810_special_metrics.json
retail_rocket,SASRec,1,0.33181074126230053,13,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/SASRec/retail_rocket_SASRec_abcd_v1_a_dretail_rocket_msasrec_a013_l06_s1_20260413_200127_448632_pid827125_special_metrics.json
retail_rocket,SASRec,2,0.33162569115680535,13,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/SASRec/retail_rocket_SASRec_abcd_v1_a_dretail_rocket_msasrec_a013_l04_s1_20260413_200124_709140_pid827111_special_metrics.json
retail_rocket,SASRec,3,0.33134372007005813,13,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/SASRec/retail_rocket_SASRec_abcd_v1_a_dretail_rocket_msasrec_a013_l05_s1_20260413_200126_101913_pid827115_special_metrics.json
retail_rocket,SASRec,4,0.331182269736423,17,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/SASRec/retail_rocket_SASRec_abcd_v1_a_dretail_rocket_msasrec_a017_l05_s1_20260413_201832_522558_pid828227_special_metrics.json
retail_rocket,SASRec,5,0.33114205748398545,17,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/SASRec/retail_rocket_SASRec_abcd_v1_a_dretail_rocket_msasrec_a017_l04_s1_20260413_201815_353834_pid828209_special_metrics.json
retail_rocket,TiSASRec,1,0.3177021003788747,21,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/TiSASRec/retail_rocket_TiSASRec_abcd_v1_a_dretail_rocket_mtisasrec_a021_l05_s1_20260413_212132_218434_pid831906_special_metrics.json
retail_rocket,TiSASRec,2,0.31741484120578606,21,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/TiSASRec/retail_rocket_TiSASRec_abcd_v1_a_dretail_rocket_mtisasrec_a021_l04_s1_20260413_212130_885009_pid831902_special_metrics.json
retail_rocket,TiSASRec,3,0.31652369769324606,21,6,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/TiSASRec/retail_rocket_TiSASRec_abcd_v1_a_dretail_rocket_mtisasrec_a021_l06_s1_20260413_212135_602406_pid831924_special_metrics.json
retail_rocket,TiSASRec,4,0.31605860403841785,22,4,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/TiSASRec/retail_rocket_TiSASRec_abcd_v1_a_dretail_rocket_mtisasrec_a022_l04_s1_20260413_212429_899599_pid832010_special_metrics.json
retail_rocket,TiSASRec,5,0.31602604302050913,22,5,,,,experiments/run/artifacts/logs/baseline_2/special/abcd_v1/ABCD/retail_rocket/TiSASRec/retail_rocket_TiSASRec_abcd_v1_a_dretail_rocket_mtisasrec_a022_l05_s1_20260413_212527_142375_pid832028_special_metrics.json
