ratio	score	dataset	model	run_phase	path
0.748180	0.051400	movielens1m	FEARec	PAIR60_V4_DMOVIELENS1M_MFEAREC_P046_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FEARec_pair60_v4_dmovielens1m_mfearec_p046_c2_s1_20260415_082001_669447_pid1169653.json
0.756748	0.232700	lastfm0.03	GRU4Rec	PAIR60_V4_DLASTFM0_03_MGRU4REC_P052_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_GRU4Rec_pair60_v4_dlastfm0_03_mgru4rec_p052_c2_s1_20260415_093803_144365_pid1176757.json
0.758486	0.058100	beauty	SASRec	PAIR60_V4_DBEAUTY_MSASREC_P001_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_SASRec_pair60_v4_dbeauty_msasrec_p001_c1_s1_20260415_050911_990466_pid1145315.json
0.760325	0.233800	lastfm0.03	GRU4Rec	PAIR60_V4_DLASTFM0_03_MGRU4REC_P052_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_GRU4Rec_pair60_v4_dlastfm0_03_mgru4rec_p052_c1_s1_20260415_092553_808223_pid1176728.json
0.760782	0.284000	retail_rocket	GRU4Rec	PAIR60_V4_DRETAIL_ROCKET_MGRU4REC_P012_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_GRU4Rec_pair60_v4_dretail_rocket_mgru4rec_p012_c2_s1_20260415_051509_319195_pid1146753.json
0.761281	0.052300	movielens1m	BSARec	PAIR60_V4_DMOVIELENS1M_MBSAREC_P045_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_BSARec_pair60_v4_dmovielens1m_mbsarec_p045_c1_s1_20260415_080013_860572_pid1167604.json
0.767624	0.058800	beauty	TiSASRec	PAIR60_V4_DBEAUTY_MTISASREC_P003_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_TiSASRec_pair60_v4_dbeauty_mtisasrec_p003_c1_s1_20260415_050911_920402_pid1145321.json
0.778182	0.256800	KuaiRecLargeStrictPosV2_0.2	BSARec	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MBSAREC_P025_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_BSARec_pair60_v4_dkuaireclargestrictposv2_0_2_mbsarec_p025_c2_s1_20260415_065612_683975_pid1159188.json
0.780204	0.053600	movielens1m	DuoRec	PAIR60_V4_DMOVIELENS1M_MDUOREC_P044_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_DuoRec_pair60_v4_dmovielens1m_mduorec_p044_c1_s1_20260415_075423_578903_pid1166602.json
0.783740	0.241000	lastfm0.03	DuoRec	PAIR60_V4_DLASTFM0_03_MDUOREC_P054_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_DuoRec_pair60_v4_dlastfm0_03_mduorec_p054_c2_s1_20260415_095159_877786_pid1176839.json
0.788642	0.294400	retail_rocket	GRU4Rec	PAIR60_V4_DRETAIL_ROCKET_MGRU4REC_P012_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_GRU4Rec_pair60_v4_dretail_rocket_mgru4rec_p012_c1_s1_20260415_051445_070995_pid1146670.json
0.788937	0.054200	movielens1m	GRU4Rec	PAIR60_V4_DMOVIELENS1M_MGRU4REC_P042_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_GRU4Rec_pair60_v4_dmovielens1m_mgru4rec_p042_c1_s1_20260415_075226_981323_pid1166116.json
0.791849	0.054400	movielens1m	SASRec	PAIR60_V4_DMOVIELENS1M_MSASREC_P041_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_SASRec_pair60_v4_dmovielens1m_msasrec_p041_c1_s1_20260415_074417_637643_pid1165287.json
0.798956	0.061200	beauty	FeaturedMoE_N3	PAIR60_V4_DBEAUTY_MFEATURED_MOE_N3_P010_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_FeaturedMoE_N3_pair60_v4_dbeauty_mfeatured_moe_n3_p010_c1_s1_20260415_051321_772461_pid1146247.json
0.807480	0.248300	lastfm0.03	FAME	PAIR60_V4_DLASTFM0_03_MFAME_P058_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FAME_pair60_v4_dlastfm0_03_mfame_p058_c2_s1_20260415_101809_740083_pid1179590.json
0.832606	0.057200	movielens1m	SASRec	PAIR60_V4_DMOVIELENS1M_MSASREC_P041_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_SASRec_pair60_v4_dmovielens1m_msasrec_p041_c2_s1_20260415_074827_074684_pid1165650.json
0.835517	0.057400	movielens1m	DuoRec	PAIR60_V4_DMOVIELENS1M_MDUOREC_P044_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_DuoRec_pair60_v4_dmovielens1m_mduorec_p044_c2_s1_20260415_075659_767196_pid1166835.json
0.836972	0.057500	movielens1m	FeaturedMoE_N3	PAIR60_V4_DMOVIELENS1M_MFEATURED_MOE_N3_P050_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FeaturedMoE_N3_pair60_v4_dmovielens1m_mfeatured_moe_n3_p050_c2_s1_20260415_091200_407966_pid1176658.json
0.839884	0.057700	movielens1m	FEARec	PAIR60_V4_DMOVIELENS1M_MFEAREC_P046_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FEARec_pair60_v4_dmovielens1m_mfearec_p046_c1_s1_20260415_080823_088037_pid1168524.json
0.850073	0.058400	movielens1m	FDSA	PAIR60_V4_DMOVIELENS1M_MFDSA_P049_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FDSA_pair60_v4_dmovielens1m_mfdsa_p049_c2_s1_20260415_085341_973474_pid1176607.json
0.850606	0.280700	KuaiRecLargeStrictPosV2_0.2	FAME	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFAME_P028_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FAME_pair60_v4_dkuaireclargestrictposv2_0_2_mfame_p028_c1_s1_20260415_070622_722220_pid1160205.json
0.854440	0.058700	movielens1m	GRU4Rec	PAIR60_V4_DMOVIELENS1M_MGRU4REC_P042_C2_S1	experiments/run/artifacts/results/baseline_2/movielens1m_GRU4Rec_pair60_v4_dmovielens1m_mgru4rec_p042_c2_s1_20260415_075251_860190_pid1166247.json
0.859394	0.283600	KuaiRecLargeStrictPosV2_0.2	DIFSR	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDIFSR_P027_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DIFSR_pair60_v4_dkuaireclargestrictposv2_0_2_mdifsr_p027_c2_s1_20260415_070215_469482_pid1159945.json
0.866084	0.059500	movielens1m	DIFSR	PAIR60_V4_DMOVIELENS1M_MDIFSR_P047_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_DIFSR_pair60_v4_dmovielens1m_mdifsr_p047_c1_s1_20260415_084007_021725_pid1172793.json
0.868788	0.286700	KuaiRecLargeStrictPosV2_0.2	FeaturedMoE_N3	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFEATURED_MOE_N3_P030_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pair60_v4_dkuaireclargestrictposv2_0_2_mfeatured_moe_n3_p030_c1_s1_20260415_071129_876754_pid1160614.json
0.870000	0.287100	KuaiRecLargeStrictPosV2_0.2	TiSASRec	PAIR60_V4_REVISED_DKUAIRECLARGESTRICTPOSV2_0_2_MTISASREC_P023_C1_S1_REV1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_TiSASRec_pair60_v4_revised_dkuaireclargestrictposv2_0_2_mtisasrec_p023_c1_s1_rev1_20260415_115316_049268_pid1191404.json
0.872229	0.149500	foursquare	FEARec	PAIR60_V4_DFOURSQUARE_MFEAREC_P036_C1_S1	experiments/run/artifacts/results/baseline_2/foursquare_FEARec_pair60_v4_dfoursquare_mfearec_p036_c1_s1_20260415_073256_434567_pid1162974.json
0.873362	0.060000	movielens1m	TiSASRec	PAIR60_V4_DMOVIELENS1M_MTISASREC_P043_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_TiSASRec_pair60_v4_dmovielens1m_mtisasrec_p043_c1_s1_20260415_075337_684661_pid1166460.json
0.878063	0.150500	foursquare	FEARec	PAIR60_V4_DFOURSQUARE_MFEAREC_P036_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_FEARec_pair60_v4_dfoursquare_mfearec_p036_c2_s1_20260415_073553_656811_pid1163407.json
