phase,run_phase,log_file,best_valid_mrr20,test_mrr20,balance_loss_lambda,z_loss_lambda,gate_entropy_lambda,group_prior_align_lambda,factored_group_balance_lambda,feature_group_bias_lambda,feature_group_prior_temperature,route_smoothness_lambda,route_consistency_lambda,route_sharpness_lambda,route_monopoly_lambda,route_prior_lambda,route_prior_bias_scale,route_consistency_pairs
P6,P6_RXI_X2_FAC_GRO,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/025_router2x2_RXI_X2_factored_group_gated_bias_20260317_234409.log,0.0799,0.1584,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_SPEC_A_M0,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/026_spec_ablation_SPEC_A_M0_20260317_224803.log,0.0812,0.1622,0.002,0.0001,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_SPEC_A_M1,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/027_spec_ablation_SPEC_A_M1_20260317_223926.log,0.0811,0.1618,0.002,0.0001,,0.0,0.0,,,0.04,0.0,,,0.0,,
P6,P6_SPEC_A_M2,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/028_spec_ablation_SPEC_A_M2_20260317_231725.log,0.0811,0.162,0.002,0.0001,,0.0,0.0,,,0.01,0.04,,,0.0,,8.0
P6,P6_SPEC_A_M3,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/029_spec_ablation_SPEC_A_M3_20260318_000738.log,0.0813,0.1619,0.002,0.0001,,0.0,0.0,,,0.01,0.0,0.01,0.04,0.0,,
P6,P6_SPEC_A_M4,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/030_spec_ablation_SPEC_A_M4_20260317_230943.log,0.0809,0.1609,0.002,0.0001,,0.001,0.002,,,0.02,0.03,,,0.01,,8.0
P6,P6_SPEC_B_M0,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/031_spec_ablation_SPEC_B_M0_20260317_230634.log,0.0807,0.162,0.002,0.0001,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,
P6,P6_SPEC_B_M1,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/032_spec_ablation_SPEC_B_M1_20260317_234733.log,0.0806,0.1619,0.002,0.0001,,0.0005,0.001,,,0.04,0.0,,,0.0,,
P6,P6_SPEC_B_M2,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/033_spec_ablation_SPEC_B_M2_20260318_003651.log,0.0805,0.1618,0.002,0.0001,,0.0005,0.001,,,0.01,0.04,,,0.0,,8.0
P6,P6_SPEC_B_M3,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/034_spec_ablation_SPEC_B_M3_20260317_234451.log,0.0803,0.1617,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,0.01,0.04,0.0,,
P6,P6_SPEC_B_M4,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/035_spec_ablation_SPEC_B_M4_20260317_232914.log,0.0803,0.1607,0.002,0.0001,,0.001,0.002,,,0.02,0.03,,,0.01,,8.0
P6,P6_FEAT_W5_TEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/036_feature_ablation_FEAT_W5_tem_20260318_001626.log,0.0792,0.161,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/038_feature_ablation_FEAT_W5_foc_20260318_000738.log,0.0794,0.1614,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/039_feature_ablation_FEAT_W5_exp_20260317_235816.log,0.0794,0.1604,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_TEM_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/040_feature_ablation_FEAT_W5_tem_mem_20260318_004055.log,0.0799,0.1617,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_TEM_EXP,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/042_feature_ablation_FEAT_W5_tem_exp_20260318_002600.log,0.0799,0.1609,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W5_MEM_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/043_feature_ablation_FEAT_W5_mem_foc_20260318_002412.log,0.0797,0.1618,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_TEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/046_feature_ablation_FEAT_W10_tem_20260318_004658.log,0.0793,0.1613,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/047_feature_ablation_FEAT_W10_mem_20260318_004240.log,0.0795,0.1619,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_TEM_MEM,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/050_feature_ablation_FEAT_W10_tem_mem_20260318_011500.log,0.0797,0.1618,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
P6,P6_FEAT_W10_TEM_FOC,experiments/run/artifacts/logs/fmoe_n3/phase6_candidate_reinfor_v2/P6/KuaiRecLargeStrictPosV2_0.2/FMoEN3/051_feature_ablation_FEAT_W10_tem_foc_20260318_005932.log,0.0797,0.1617,0.002,0.0001,,0.0005,0.001,,,0.01,0.0,,,0.0,,
